,VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS,infection_source,infection_time
0,Aedes aegypti,1.0,published,point,-999,-3.22,40.07,1958,Kenya,KEN,133.0,,air,9
1,Aedes aegypti,2.0,published,point,-999,-4.27,15.3,1960,Congo,COG,59.0,,mosquito,5
2,Aedes aegypti,3.0,published,point,-999,-4.27,15.3,1960,Congo,COG,59.0,,mosquito,7
3,Aedes aegypti,4.0,published,point,-999,-3.22,40.07,1960,Kenya,KEN,133.0,,water,1
4,Aedes aegypti,5.0,published,point,-999,-3.04,40.14,1960,Kenya,KEN,133.0,,water,2
5,Aedes aegypti,6.0,published,point,-999,0.18,32.5,1960,Uganda,UGA,253.0,,air,5
6,Aedes aegypti,7.0,published,point,-999,4.63,-74.09,1960,Colombia,COL,57.0,,mosquito,2
7,Aedes aegypti,8.0,published,point,-999,6.01,1.05,1960,Ghana,GHA,94.0,,mosquito,9
8,Aedes aegypti,9.0,published,point,-999,6.49,3.37,1960,Nigeria,NGA,182.0,,mosquito,3
9,Aedes aegypti,10.0,published,point,-999,10.34,-67.04,1960,Venezuela,VEN,263.0,,mosquito,3
10,Aedes aegypti,11.0,unpublished,polygon,2,25.49,-80.99,1960,United States of America,USA,259.0,,water,10
11,Aedes aegypti,12.0,unpublished,polygon,2,26.12,-81.33,1960,United States of America,USA,259.0,,air,5
12,Aedes aegypti,13.0,unpublished,polygon,2,26.13,-97.55,1960,United States of America,USA,259.0,,water,1
13,Aedes aegypti,14.0,unpublished,polygon,2,26.15,-80.49,1960,United States of America,USA,259.0,,air,9
14,Aedes aegypti,15.0,unpublished,polygon,2,26.4,-98.19,1960,United States of America,USA,259.0,,mosquito,2
15,Aedes aegypti,16.0,unpublished,polygon,2,26.47,-97.68,1960,United States of America,USA,259.0,,water,4
16,Aedes aegypti,17.0,unpublished,polygon,2,26.55,-81.17,1960,United States of America,USA,259.0,,air,7
17,Aedes aegypti,18.0,unpublished,polygon,2,26.57,-98.75,1960,United States of America,USA,259.0,,air,8
18,Aedes aegypti,19.0,unpublished,polygon,2,26.58,-81.8,1960,United States of America,USA,259.0,,mosquito,9
19,Aedes aegypti,20.0,unpublished,polygon,2,26.65,-80.48,1960,United States of America,USA,259.0,,air,5
20,Aedes aegypti,21.0,unpublished,polygon,2,26.91,-81.89,1960,United States of America,USA,259.0,,water,5
21,Aedes aegypti,22.0,unpublished,polygon,2,26.93,-97.73,1960,United States of America,USA,259.0,,mosquito,4
22,Aedes aegypti,23.0,unpublished,polygon,2,26.96,-81.18,1960,United States of America,USA,259.0,,air,2
23,Aedes aegypti,24.0,unpublished,polygon,2,27.04,-98.23,1960,United States of America,USA,259.0,,air,10
24,Aedes aegypti,25.0,unpublished,polygon,2,27.05,-98.71,1960,United States of America,USA,259.0,,mosquito,4
25,Aedes aegypti,26.0,unpublished,polygon,2,27.07,-80.45,1960,United States of America,USA,259.0,,air,1
26,Aedes aegypti,27.0,unpublished,polygon,2,27.18,-82.32,1960,United States of America,USA,259.0,,water,5
27,Aedes aegypti,28.0,unpublished,polygon,2,27.18,-81.81,1960,United States of America,USA,259.0,,water,6
28,Aedes aegypti,29.0,unpublished,polygon,2,27.34,-81.34,1960,United States of America,USA,259.0,,water,9
29,Aedes aegypti,30.0,unpublished,polygon,2,27.38,-80.49,1960,United States of America,USA,259.0,,air,9
30,Aedes aegypti,31.0,unpublished,polygon,2,27.39,-80.89,1960,United States of America,USA,259.0,,air,2
31,Aedes aegypti,32.0,unpublished,polygon,2,27.47,-82.3,1960,United States of America,USA,259.0,,mosquito,1
32,Aedes aegypti,33.0,unpublished,polygon,2,27.49,-81.81,1960,United States of America,USA,259.0,,air,1
33,Aedes aegypti,34.0,unpublished,polygon,2,27.69,-80.62,1960,United States of America,USA,259.0,,air,9
34,Aedes aegypti,35.0,unpublished,polygon,2,27.93,-82.31,1960,United States of America,USA,259.0,,mosquito,5
35,Aedes aegypti,36.0,unpublished,polygon,2,27.95,-81.7,1960,United States of America,USA,259.0,,mosquito,2
36,Aedes aegypti,37.0,unpublished,polygon,2,28.06,-81.15,1960,United States of America,USA,259.0,,air,2
37,Aedes aegypti,38.0,unpublished,polygon,2,28.31,-82.39,1960,United States of America,USA,259.0,,air,3
38,Aedes aegypti,39.0,unpublished,polygon,2,28.51,-81.32,1960,United States of America,USA,259.0,,mosquito,7
39,Aedes aegypti,40.0,unpublished,polygon,2,29.06,-81.19,1960,United States of America,USA,259.0,,mosquito,6
40,Aedes aegypti,41.0,unpublished,polygon,2,29.33,-82.74,1960,United States of America,USA,259.0,,air,8
41,Aedes aegypti,42.0,unpublished,polygon,2,29.46,-81.31,1960,United States of America,USA,259.0,,mosquito,8
42,Aedes aegypti,43.0,unpublished,polygon,2,29.78,-90.12,1960,United States of America,USA,259.0,,air,8
43,Aedes aegypti,44.0,unpublished,polygon,2,29.86,-92.32,1960,United States of America,USA,259.0,,water,4
44,Aedes aegypti,45.0,unpublished,polygon,2,30.33,-82.28,1960,United States of America,USA,259.0,,water,1
45,Aedes aegypti,46.0,unpublished,polygon,2,32.06,-93.73,1960,United States of America,USA,259.0,,air,9
46,Aedes aegypti,47.0,unpublished,polygon,2,32.48,-92.15,1960,United States of America,USA,259.0,,mosquito,4
47,Aedes aegypti,48.0,published,point,-999,24.85,67.01,1961,Pakistan,PAK,188.0,,water,9
48,Aedes aegypti,49.0,published,point,-999,38.24,27.97,1961,Turkey,TUR,249.0,,air,4
